GeneID,ZmPep3,antiZm3
GRMZM2G169405,-1.712177634,1.737628007
GRMZM2G139994,-1.721269817,1.739669825
GRMZM2G102968,-1.727293757,1.740212943
GRMZM2G402092,-1.730180866,1.742150609
GRMZM2G011213,-1.731434615,1.743448425
GRMZM2G391936,-1.734086302,1.745104293
GRMZM5G899043,-1.734274324,1.762813579
GRMZM2G095333,-1.735700335,1.764943689
GRMZM2G028302,-1.736826951,1.771677386
GRMZM2G083935,-1.737096018,1.776291758
GRMZM2G106578,-1.737786768,1.7800068
GRMZM2G054387,-1.741123273,1.783875597
GRMZM2G145496,-1.743514025,1.784614596
AC205897.3_FG002,-1.746571487,1.786270864
